Date,SO2,CO,PM_10,NO2
4/28/1994,4.693622114,0.716512667,23,10.65079375
4/29/1994,5.20511169,0.7503542,25,12.36805575
4/30/1994,4.204983762,0.6194444,24,12.47916675
5/1/1994,7.446031333,0.5714142,16,8.8229165
5/2/1994,5.678123548,0.751428533,27.5,11.90416675
5/3/1994,3.532335476,0.7241189,26,7.1802312
5/4/1994,6.42220931,0.602677333,21.59863416,6.6665224
5/5/1994,4.967640881,0.710553333,26,10.9857282
5/6/1994,6.454614667,0.934305567,32,16.71875
5/7/1994,2.363693524,0.7462501,28,9.38541675
5/8/1994,1.521684905,0.6822349,26.41935484,6.3958335
5/9/1994,2.825321619,0.785862267,25,7.32221375
5/10/1994,4.411166357,0.758286133,26,10.8526785
5/11/1994,4.788801432,0.7749551,39,13.066288
5/12/1994,6.434716932,0.81870531,32,8.3173808
