Date,pm10,CO,SO2,NO2
1/15/1994,10,0.737889638,8.282122189,12.49396513
1/16/1994,18,0.684475339,10.55589208,10.93402394
1/17/1994,23,0.719601207,10.93118939,17.63860829
1/18/1994,14.5,0.71931695,9.852822514,13.55966938
1/19/1994,14,0.68704015,14.84471789,15.14482063
1/20/1994,22.43548387,0.813322323,19.14332099,20.87742269
1/21/1994,23,0.9725745,22.52010585,25.21736933
1/22/1994,33,1.003982597,19.82262005,22.441868
1/23/1994,30,1.056919161,12.65590775,21.62273556
1/24/1994,34,1.39215171,13.53944681,24.71520006
1/25/1994,39,1.484968194,11.21207446,22.73292339
1/26/1994,18.828125,1.041339145,9.748275676,19.16368341
1/27/1994,19,0.872298871,15.16673164,20.617201
1/28/1994,19.12189804,0.821754983,7.066053892,18.58997588
1/29/1994,19.12189804,0.806250633,8.264655365,14.56705024
1/30/1994,19.12189804,0.732622067,7.946939486,12.40897276
1/31/1994,19.12189804,0.965016917,10.73524667,18.61358847
2/1/1994,27.078125,1.126696383,12.55505329,21.05678947
2/2/1994,18,0.912227083,17.54211367,22.05448635
2/3/1994,19.12189804,0.8835995,15.00181142,19.49880341
2/4/1994,19.12189804,1.208890387,11.95137817,24.01946929
2/5/1994,19.12189804,1.4483032,16.20194365,26.79076094
2/6/1994,19.12189804,0.988519517,10.8714095,21.7497735
2/7/1994,25.5483871,1.249655833,13.46533815,22.01396282
2/8/1994,13,0.838585433,8.543647141,20.03731424
2/9/1994,19.12189804,0.824777183,11.6394969,19.17573078
2/10/1994,19.12189804,0.7593025,10.291264,15.82595878
2/11/1994,19.12189804,0.698154433,12.20472385,21.36775283
2/12/1994,12,0.798313667,9.332853667,17.93220606
2/13/1994,17.68852459,0.849178867,8.640356211,16.78268494
2/14/1994,18,0.807651817,8.668016269,16.55466156
2/15/1994,19.12189804,1.178568283,12.95619455,25.43611106
2/16/1994,19.12189804,1.046227317,10.47808785,20.47581856
2/17/1994,29,1.212189817,12.07516919,26.54897333
